"","tree_ID","X","bloc","treatment","genus","species","year","height","diameter","notes","spp_num","treeid_num","aboveGroundWeight","agb25","agb23","agb24","increment25","increment24"
"100","Bepa_CoolS/CoolF_B1_R5_nitro",1415,1,"CoolS/CoolF_nitro","betula","betula_papyrifera",2025,139.5,15.19,NA,2,155,44.9,40.5054933017148,26.5871339416436,32.9981097567002,7.50738354501461,6.41097581505662
"101","Bepa_CoolS/CoolF_B2_R10",1360,2,"CoolS/CoolF","betula","betula_papyrifera",2025,128.6,9.29,NA,2,100,18.78,22.8821681323144,15.919188535714,15.4739973493459,7.4081707829685,-0.445191186368135
"102","Bepa_CoolS/CoolF_B2_R10_nitro",1420,2,"CoolS/CoolF_nitro","betula","betula_papyrifera",2025,46.2,8.89,NA,2,160,8.86,12.5588708723299,6.58572187773508,7.82123358622676,4.73763728610317,1.23551170849167
"103","Bepa_CoolS/CoolF_B2_R6",1356,2,"CoolS/CoolF","betula","betula_papyrifera",2025,98.6,10.93,NA,2,96,26.12,23.5482361146788,13.7593468884703,17.5581662199618,5.990069894717,3.79881933149155
"104","Bepa_CoolS/CoolF_B2_R6_nitro",1416,2,"CoolS/CoolF_nitro","betula","betula_papyrifera",2025,93.3,13.04,NA,2,156,26.56,27.7488166862898,21.9662922151549,25.7923359673956,1.95648071889418,3.82604375224068
"105","Bepa_CoolS/CoolF_B2_R7",1357,2,"CoolS/CoolF","betula","betula_papyrifera",2025,106.9,9.72,NA,2,97,18.19,21.750872803144,11.0056324372697,14.8850175290488,6.86585527409527,3.87938509177903
"106","Bepa_CoolS/CoolF_B2_R7_nitro",1417,2,"CoolS/CoolF_nitro","betula","betula_papyrifera",2025,38.1,11.3,"top of tree is dead; highest lateral shoot measured",2,157,13.74,14.6401738796636,17.6483463082146,17.8905423137164,-3.25036843405281,0.242196005501729
"107","Bepa_CoolS/CoolF_B2_R8",1358,2,"CoolS/CoolF","betula","betula_papyrifera",2025,114.3,13.89,NA,2,98,43.15,33.1438042894539,25.0511776363847,26.874037555224,6.26976673422997,1.82285991883924
"108","Bepa_CoolS/CoolF_B2_R8_nitro",1418,2,"CoolS/CoolF_nitro","betula","betula_papyrifera",2025,109.1,10.29,NA,2,158,23.98,23.3907807009384,15.9498829683894,18.2164880555223,5.1742926454161,2.26660508713291
"109","Bepa_CoolS/CoolF_B2_R9",1359,2,"CoolS/CoolF","betula","betula_papyrifera",2025,98.6,10.23,"previous year's measurement was probably wrong; double checked and shoot is intact",2,99,23.12,22.0248109269063,15.4847193010724,20.2137862615805,1.81102466532575,4.72906696050816
"110","Bepa_CoolS/CoolF_B2_R9_nitro",1419,2,"CoolS/CoolF_nitro","betula","betula_papyrifera",2025,141.9,13.62,NA,2,159,41.04,36.3728477126806,31.0557324934321,34.2768905274397,2.09595718524086,3.22115803400766
"111","Bepa_CoolS/CoolF_B3_R11",1361,3,"CoolS/CoolF","betula","betula_papyrifera",2025,69.5,7.77,"apical shoot died; lateral shoot measured",2,101,13.61,13.556926528434,11.2907692203531,12.501636625103,1.055289903331,1.21086740474989
"112","Bepa_CoolS/CoolF_B3_R11_nitro",1421,3,"CoolS/CoolF_nitro","betula","betula_papyrifera",2025,114.9,11.96,NA,2,161,24.57,28.1834726725203,18.5704104939369,26.7597943661445,1.42367830637579,8.18938387220759
"113","Bepa_CoolS/CoolF_B3_R12",1362,3,"CoolS/CoolF","betula","betula_papyrifera",2025,95.7,9.61,NA,2,102,17.71,20.1968719812361,11.8532960372481,15.928192152857,4.26867982837908,4.07489611560898
